ZIP census tabulation area,ZIP Code name,Total population (2020 Census)
2122,"Dorchester, MA",24385
2124,"Dorchester Center, MA",50972
2125,"Dorchester, MA",34926
2126,"Mattapan, MA",22734
2127,"South Boston, MA",37939
2128,"East Boston, MA",43066
2129,"Charlestown, MA",19120
2130,"Jamaica Plain, MA",38284
2131,"Roslindale, MA",30544
2132,"West Roxbury, MA",27111
2133,"Boston, MA",56
2134,"Allston, MA",21707
2135,"Brighton, MA",47232
2136,"Hyde Park, MA",35102
2138,"Cambridge, MA",37982
2139,"Cambridge, MA",39525
2140,"Cambridge, MA",21447
2141,"Cambridge, MA",15130
2142,"Cambridge, MA",4499
2143,"Somerville, MA",26022
2144,"Somerville, MA",25497
2145,"Somerville, MA",27520
2148,"Malden, MA",66274
2149,"Everett, MA",49075
2150,"Chelsea, MA",40721
2151,"Revere, MA",62252
2152,"Winthrop, MA",19316
2155,"Medford, MA",61483
2163,"Boston, MA",1391
2169,"Quincy, MA",62140
2170,"Quincy, MA",19950
2171,"Quincy, MA",19539
2176,"Melrose, MA",29817
2180,"Stoneham, MA",23244
2184,"Braintree, MA",39143
2186,"Milton, MA",28637
2188,"Weymouth, MA",15133
2189,"East Weymouth, MA",15123
2190,"South Weymouth, MA",18910
2191,"North Weymouth, MA",8271
2199,"Boston, MA",1574
2205,"Boston, MA (PO boxes)",10
2210,"Boston, MA",5808
2215,"Boston, MA",26926
2301,"Brockton, MA",69418
2302,"Brockton, MA",36202
2322,"Avon, MA",4777
2324,"Bridgewater, MA",25676
2325,"Bridgewater, MA",3025
2330,"Carver, MA",11645
2332,"Duxbury, MA",16090
2333,"East Bridgewater, MA",14382
2338,"Halifax, MA",7749
2339,"Hanover, MA",14833
2341,"Hanson, MA",10367
2343,"Holbrook, MA",11364
2346,"Middleboro, MA",24245
2347,"Lakeville, MA",11523
2350,"Monponsett, MA (PO boxes)",272
2351,"Abington, MA",17085
2356,"North Easton, MA",12767
2357,"North Easton, MA",1906
2359,"Pembroke, MA",18361
2360,"Plymouth, MA",61134
2364,"Kingston, MA",13708
2366,"South Carver, MA (PO boxes)",83
